GridSize,ThreadCount,Algorithm,ExecutionTime_ms
100,1,Sequential,0.07
100,2,Parallel,0.28500
250,1,Sequential,0.16
250,2,Parallel,0.42100
500,1,Sequential,2.21
500,2,Parallel,3.47300
750,1,Sequential,4.59
750,2,Parallel,9.95900
1000,1,Sequential,7.66
1000,2,Parallel,3.99400
1250,1,Sequential,4.09
1250,2,Parallel,13.85800
1500,1,Sequential,13.57
1500,2,Parallel,6.26900
1750,1,Sequential,9.37
1750,2,Parallel,5.96200
2000,1,Sequential,11.66
2000,2,Parallel,6.45400
2250,1,Sequential,42.28
2250,2,Parallel,12.25100
2500,1,Sequential,22.61
2500,2,Parallel,24.50600
2750,1,Sequential,53.57
2750,2,Parallel,15.01800
3000,1,Sequential,52.22
3000,2,Parallel,26.08500
3250,1,Sequential,125.87
3250,2,Parallel,28.31000
3500,1,Sequential,115.58
3500,2,Parallel,24.12000
3750,1,Sequential,39.17
3750,2,Parallel,13.20900
4000,1,Sequential,16.60
4000,2,Parallel,12.48700
4250,1,Sequential,44.16
4250,2,Parallel,17.42000
4500,1,Sequential,36.77
4500,2,Parallel,12.30900
4750,1,Sequential,18.23
4750,2,Parallel,15.14800
5000,1,Sequential,93.15
5000,2,Parallel,37.12100
5250,1,Sequential,31.62
5250,2,Parallel,19.51900
5500,1,Sequential,128.53
5500,2,Parallel,42.82200
5750,1,Sequential,110.73
5750,2,Parallel,22.00900
6000,1,Sequential,34.28
6000,2,Parallel,23.56100
6250,1,Sequential,53.04
6250,2,Parallel,24.90000
6500,1,Sequential,116.06
6500,2,Parallel,28.99500
6750,1,Sequential,58.69
6750,2,Parallel,25.63500
7000,1,Sequential,67.23
7000,2,Parallel,29.24000
7250,1,Sequential,65.46
7250,2,Parallel,33.75400
7500,1,Sequential,151.36
7500,2,Parallel,74.00800
7750,1,Sequential,58.02
7750,2,Parallel,24.39000
8000,1,Sequential,132.04
8000,2,Parallel,38.12800
8250,1,Sequential,211.18
8250,2,Parallel,109.74700
8500,1,Sequential,172.21
8500,2,Parallel,55.66000
8750,1,Sequential,2727.43
8750,2,Parallel,213.67400
9000,1,Sequential,105.30
9000,2,Parallel,142.25900
9250,1,Sequential,67.32
9250,2,Parallel,38.29300
9500,1,Sequential,73.64
9500,2,Parallel,54.98200
9750,1,Sequential,231.48
9750,2,Parallel,398.67800
10000,1,Sequential,203.99
10000,2,Parallel,3067.31900
